Município;latitude;longitude
Tejuçuoca;-3.9887;-39.5796
Tianguá;-3.72928;-40.9923
Trairi;-3.27558;-39.2655
Tururu;-3.58464;-39.4332
Ubajara;-3.86741;-40.9207
Umari;-6.63975;-38.705
Umirim;-3.67972;-39.3465
Uruburetama;-3.62343;-39.5092
Uruoca;-3.30875;-40.5588
Varjota;-4.19352;-40.4747
Várzea Alegre;-6.78263;-39.2941
Viçosa do Ceará;-3.56694;-41.0917
